,Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
12,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11586.779791773799,12079.016385615501,12284.9135544929,12974.8135723006,13837.111771959198,13221.9493357343,14045.649274411999,14757.124307128799,15306.5048821576,15789.4351996682,16843.1216095067,16173.326222213602,16367.734900892,17458.8837289464,18718.3707760024,20269.690993938002,23180.4007139502,25613.5465027525,25690.689492805,22435.3937041743,20611.4457775542,20347.868483146598,19598.0238599601,18797.626367838202,19039.0045029811,18911.306894438898,19920.265783850402,19840.2840357027,21521.8850511088,22774.1742001371,18241.868195762,
13,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17367.1105802089,17822.4752810445,18214.5978708352,19159.5215902231,20094.0541110681,20923.5552047671,22008.9115920568,22972.4878585107,24210.6362668513,25296.2635489631,26343.0767025713,27439.827787007598,28768.728631705602,29807.4095606,31407.4614546007,32653.401620881497,34369.6193939212,36599.8507307471,37499.525131917406,40281.799672065,39336.663484531804,42003.158055975204,42836.6718635909,45906.4400399472,46880.8951800484,46248.6164566389,47255.3070085957,48398.5497014956,50169.18729365231,51748.397721532194,53329.808328387,
14,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19461.9969383816,20605.8535653617,21281.1547117021,21720.511066401297,22629.9709565858,23684.6200543557,24553.8401338753,25426.717405183703,26675.0431579236,27606.4830303088,29376.019736475297,29702.797528607403,31178.6933297272,32144.2418052358,33773.825776679,35013.7140443423,37662.1851663577,39430.6091682131,41316.225176699,40918.1321224314,42009.4385277438,44452.732745799905,46457.34577703111,47922.0491207455,48799.715467698494,49865.903942418496,52684.0171130768,54172.9867888254,56960.0914258929,58076.348801447995,55683.8408238588,
15,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5255.8840678592605,5324.280172012729,4151.671992502271,3219.14438649773,2604.80993706837,2318.6659849943303,2367.73620175635,2525.38006091237,2782.64722815762,3005.22223255099,3385.5127273496996,3772.94378267173,4163.19998698029,4638.12476816102,5158.39459385476,6737.146208358829,9233.68079666208,11718.526726131398,12956.834046821,13976.1096357098,14677.164820419299,14804.5744507911,15957.7188502849,17188.945505661202,17443.8782563093,14938.4011276715,14371.0227410092,14121.4069355591,14550.7628169318,15052.793870156398,14479.7054094424,
16,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.679787094784,652.117266798247,659.4188857883149,620.647202996567,599.1938173654901,555.019815618797,513.698302151897,509.35739073305496,534.023852953706,529.283026766492,527.080874650023,537.359461223141,554.944847680609,541.763919368898,565.042746654446,569.274971643531,598.507597533049,615.229559660846,636.332024089182,644.105174174961,663.05448953244,681.971621284674,690.687841656639,740.983221098929,777.041241495558,841.6460258600031,796.9440833730749,773.572858670972,779.808175667897,783.4519831986689,771.163242451307,
17,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18678.0102895051,19590.699181020802,20261.478105655,20462.146456799997,21507.1213604371,22434.706900125897,22738.448869109303,23732.272246394,24368.9136857593,25440.8411888638,27784.571504168398,28788.062841137402,30282.2886450283,30932.852509562403,32063.0803240468,33177.8909458158,35259.1867115805,36791.2004331501,37883.3319417819,37749.509536574304,39840.0881958103,40942.372710454,42290.7620520019,43671.11959259,44929.685593416,46200.904454307005,48597.399982620096,50442.2705419624,52528.1185388814,54269.5140327442,53034.961003118,
18,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258.7712819774902,1311.2902009898598,1333.62661375473,1395.20869457198,1404.82950812051,1471.7134828124301,1515.05087727884,1581.9418329731698,1614.6275547968899,1675.2447947834303,1759.7203568593302,1837.8053324519897,1894.9988812774,1936.8809722049398,2015.63776609052,2052.52885319768,2135.2637699531697,2258.4926807807396,2347.92432443978,2353.63289269548,2364.1196363653103,2416.3273623235896,2498.4957725647,2669.68821953416,2833.41275279485,2886.8291371897303,3004.80780499086,3044.5171562031896,3236.6704171829997,3426.32965445391,3505.4243539400395,
19,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589.576302253275,647.236975507714,645.897531683473,665.806770393949,670.430577273876,704.016789633638,774.1699495361729,814.789720723018,859.734955268716,910.580353379181,921.939176749921,976.160879295841,1005.4299905803801,1072.46713586937,1117.46483140297,1215.57325780426,1291.48579644952,1339.7376486094802,1401.95772721559,1411.1275284452302,1502.10404736947,1586.5711611223599,1619.3994258883802,1683.10583320456,1692.30324218467,1713.52013591224,1895.2950660336603,2044.3869867675799,2168.66221320779,2267.50663763582,2274.01683192965,
20,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849.962968101117,888.430871802308,936.975587125839,982.834589921654,1020.7910505378301,1072.43267805205,1117.4005820648,1163.61727695224,1212.18822440359,1261.3446181521,1331.54842861048,1403.12621854246,1453.26225725918,1523.7974780874802,1620.4250531191599,1753.87460797871,1901.71670067808,2065.1547733359102,2206.51037075368,2309.56363735967,2439.06962718124,2620.83379040874,2937.6287981041996,3143.5855027523903,3368.05616403141,3555.50525970603,3848.9576636919105,4160.70332471531,4547.48001638788,4954.7618481258205,5138.65321028685,
21,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7547.122369336129,7214.513779464301,6916.17415181714,7031.17228654894,7336.7470810697,7738.843637996601,6846.98433922176,5750.439437307769,6177.6536537639695,5807.81170069875,6421.95913484706,6958.97841729051,7786.4484224601,8416.98366742999,9201.50412778876,10291.4377739545,11408.1180610219,12811.3587714533,14335.7146000831,14181.1546844467,14956.487177721101,15747.0853813627,16327.8726078533,16647.0063974042,17616.913178474,18391.9274727456,20074.376295713202,21469.9454411605,22990.1054861125,24523.792288687404,24613.8350724496,
22,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26858.681029221403,30046.980659806803,31952.7558366559,36015.8992015607,35799.8545311001,37036.2528728687,38249.1391315648,39039.8972345777,40105.0411441848,40910.717381933,42181.9060430048,42094.5814216923,41932.5835516097,42860.4822233235,44185.33853991231,45400.8527009258,46200.6358641054,47532.859158405496,47847.6152454812,46498.8434018951,46872.9477813149,47377.498309469695,50675.6210184322,51494.411717811905,51101.977022291394,45575.7835718316,44768.970913946105,47709.7780156397,47503.0619389863,47228.1000429956,43755.855617608395,
23,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21483.0762230747,20891.0953488468,20161.9102028016,20318.6316508094,21034.7594508762,22069.78193012,23109.5516501455,24844.1903544162,23725.0901841055,26685.2867178191,28034.196516134598,28956.8955024979,29715.695283150697,29363.121938632998,29869.4063424936,31261.773574933,32401.6259235917,33117.605071200094,32373.492644525,30728.818092197,31090.5816457788,31522.020233387597,32216.697798318703,31650.4390099407,33248.113287514905,33937.418758978,34338.5195561543,35917.7570326171,37416.972255438195,37973.2472481629,32538.569164082797,
24,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.779859267459,1142.14294603017,2235.41323073404,3081.0846942665803,3603.4923833908297,3996.8010101410796,4598.155111571579,4791.89579244824,5196.529753861229,5461.78244298326,5949.360938910369,6479.645753559879,7414.01942076698,8196.49631368481,9028.85859514751,9028.63350729932,9348.26456908985,9976.49077413797,10304.0244805857,11016.550451176201,11433.1904283714,12010.7594974624,13072.1830096742,13753.837442683702,14901.781224631999,15728.175505166299,15623.0974695199,
25,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5228.564437385759,5338.05436369636,4924.7410991855295,4648.04913945108,4196.827402234911,3851.6834777294703,4045.6260919724605,4606.52243533804,5072.46925512,5344.6582135646995,5808.35742587087,6248.2113822415295,6709.84550284634,7367.1937790746915,8489.48408699124,9642.42979250313,10994.766738299399,12317.4565015173,13885.7467207654,14054.106018462,15360.1478975791,16563.2014078209,18105.2867180444,18994.1901887615,19008.0610153147,18095.665178273703,17785.9431970966,18356.1007741722,19430.2787724315,20094.5258122074,20239.201820007198,
