,Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Unnamed: 65
13,Australia,1810.6192301340302,1877.6166377325,1854.6568338542102,1967.11653731032,2131.37794817925,2281.09879668523,2343.99529013149,2580.2710957118697,2724.3725193188397,2991.60719792911,3305.12639431046,3495.57929420671,3950.1708939181103,4771.671985973499,6484.11987233886,7005.90658757798,7489.59416032812,7778.164008014621,8255.74454303408,9297.33341717362,10211.8371887909,11854.5884953898,12788.549290120902,11538.3984187095,12454.5517172396,11459.179567837,11384.9382387646,11645.452593938899,14279.159438794599,17828.0482329023,18243.4714183672,18855.7619964202,18604.188269961298,17667.1870997502,18079.3801793746,20358.3333563413,21904.2941177592,23509.4234684514,21345.9709868552,20558.9604021981,21697.7084797731,19527.3235767954,20117.7888912664,23492.405174227202,30513.9417409748,34080.9998953245,36117.487983674,41001.1429790999,49654.9105957389,42783.3225651148,52087.972288889105,62574.1457032412,68027.8417067378,68156.6279162085,62511.6905895284,56707.0220772116,49881.7637140466,53934.2501750463,57180.779400161395,54875.2859563351,51692.8427477695,
14,Austria,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.9686060056601,1569.6671828996698,1677.6735280427201,1825.3861255212398,2058.76905087549,2380.97845801742,2924.0488789910496,3890.72241941969,4630.75719737956,5285.62072414121,5678.386658100179,6810.62768469634,8205.4689771504,9793.765348150171,10869.5464940526,9385.24906398343,9410.34725652989,9537.40742043378,8991.065039630259,9172.09676001833,13083.0726621044,16392.7695234749,17578.6189397397,17468.9461372569,21680.989623313002,22410.911766665402,24880.1641180361,24081.5277928004,25646.700659168397,30325.8495818396,29809.0767730821,26705.478599389102,27361.8751106437,27174.2971559775,24564.4582948404,24537.5142629883,26401.7454564357,32222.897241165498,36821.521468009305,38403.1338770715,40635.281815972405,46855.7717452095,51708.7657541758,47963.1794023217,46858.0432733717,51374.9584066934,48567.69528642,50716.708706286394,51717.495940551504,44178.047377743205,45276.8314351693,47312.0062332199,51461.433215008205,50114.4011099728,48586.8013213238,
15,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.4582135796365,209.478571809788,157.086059054548,314.561226313624,409.163189106479,505.500349333104,561.906807871869,573.916512334089,655.119945170816,703.683843432722,763.080637985358,883.733971498452,1045.00937916805,1578.40239029603,2473.08181863536,3851.4378687117205,5574.6038021861295,4950.29479142375,5843.533768358199,7189.69122920765,7496.294647682629,7875.75695254288,7891.31314749986,5500.31038244408,3880.7387308955604,4147.08971569171,4739.841710283929,4805.75371765917,4221.40747847848,
16,Burundi,70.0519098975133,71.1671882088235,73.4353308201368,78.51462075498179,86.1615495133979,51.3818812578693,52.1825516980849,54.8064431207722,54.900762077718106,55.7149339029583,69.7693841827188,71.6267098340753,69.13961473267629,84.4187820522328,94.68539953716129,113.753156119578,118.914933058734,142.05298389329,154.516273299419,193.149963916389,221.231941787803,227.12812002912602,231.343693847179,240.78170318395198,213.61684136555198,242.058503810168,245.915327496274,225.071475788735,209.41486084378897,209.89441260543097,208.146678899064,209.77801100678397,190.48887993529598,161.887525025872,156.812380979725,167.098887846036,143.402323772521,158.914669880487,144.493017302487,128.938918689721,136.46397080033998,134.363426917623,123.117536141087,113.567251308875,128.336702810905,151.681566343002,167.376462504995,172.495596648941,198.352851736367,212.137057219997,234.235538877634,249.577979366801,252.358870682831,256.975652630896,274.857836231788,305.549652502657,260.56522079627,253.826354063895,238.783467020173,228.213589244227,238.990725856496,
17,Belgium,1273.69165910289,1350.19767333123,1438.5232330684,1535.02372901043,1701.84627554319,1835.5947655319396,1957.6260804276199,2086.63600544654,2222.3615105191298,2458.0818200377303,2765.89099664794,3082.9279887912603,3831.6318999943296,4900.96220075866,5733.798139338779,6701.37736052433,7243.04734119583,8426.94695947372,10289.7684173296,11810.6158754725,12864.0025661396,10622.8024830789,9343.861099596179,8846.23429846974,8457.26880316374,8750.818512505359,12170.0406962702,15135.852311696799,16391.093827791003,16525.0617432848,20600.3752789827,21041.6606519648,23372.619171015,22283.936021355097,24208.554793144704,28413.826438736804,27489.5551770488,24820.9380503896,25338.4432934904,25244.2750474813,23041.534729042796,22995.1575247288,24887.5613341833,30587.6684093796,35364.3753314368,36795.9768819639,38672.705942976696,44262.8960009954,48106.892915788,44583.544807081395,44141.8781415734,47348.5250202016,44673.1158755901,46744.6625441516,47700.540360117804,40991.8081381432,41984.103033560896,44089.310087511796,47519.5530968943,46591.4916067396,45159.3482229717,
18,Benin,93.02270026776829,95.5722322308738,94.4644972423036,99.8589175338946,104.339929434072,110.132584644972,112.940836383512,111.951560996903,116.895149769939,116.02525714589198,114.556675136837,112.569975631646,134.819585121297,161.987061525057,174.01409449139703,207.30031276854402,208.656403182912,218.45398401670602,263.58143153799,327.82231216256304,378.044305113183,337.97837168528497,322.777452914962,271.129844234977,252.86978504478802,244.410941733101,303.349035603158,344.503146752797,346.736631300277,311.678045207701,393.68676796568,385.75384074547503,317.962736015867,411.926179723246,279.666749038025,367.387714295597,387.43209818347395,361.099982369469,379.441767515178,551.821429431177,512.673901962619,518.067474134696,574.9297981557891,711.284954771847,798.7443045038091,822.785143124704,856.054916559873,966.2036183101579,1125.42613398072,1088.75790573459,1036.53451502404,1130.27325128015,1145.14010479477,1251.20976745379,1291.41018480579,1076.79669785585,1087.28733148547,1136.5938717844801,1241.8252980095801,1219.51550596905,1291.04097215441,
19,Burkina Faso,68.4247344006247,71.558180092437,76.520549314543,78.3721958330329,80.47271812073849,81.7250523247925,82.545684006557,84.3630702039477,84.7329371553071,86.5202091318263,81.5000146010762,84.2878285843207,99.326746973691,113.78034143398199,124.358896430637,152.727996774912,155.649056863891,176.78335096343898,225.941517814401,262.076009642159,282.685850096209,254.230468740772,245.09449089523,217.994602363453,193.84327313825298,200.8943517994,256.762480687544,291.131616653547,313.06159138278196,304.85352087584,351.979233521781,346.410595888327,361.046875627391,334.943236997182,193.070280195262,235.83215055348597,249.36055885540299,229.49294931301398,255.718236662883,300.42172389610903,255.718687257319,267.097599629023,294.665388546593,374.62735797047304,418.37666028192,457.933430763383,473.449868166334,535.062279451535,643.4045810230359,624.175164544582,647.836095537879,751.172770411005,758.0004269724029,787.4694383090849,792.84623742527,653.32726813947,688.250696258197,734.9962679605279,804.500537821516,796.1152068276759,857.9327296502229,
20,Bangladesh,89.0352394288932,97.5952917047176,100.122129600152,101.901412511993,100.221104183654,106.64664438536501,112.66536475271299,122.870628479594,122.847597531085,135.147381311241,140.002705319444,133.551418941349,94.381677046194,119.55972393113301,182.020018493274,277.57060523747504,141.197158924105,131.373227305593,176.03394743189997,200.76967703901403,227.75192650771402,247.649616779944,220.718796963204,204.417690056891,213.99663856969602,245.453912291425,233.658072199948,253.974473728959,270.69960091549,285.829216867865,306.268700840472,293.160421069586,293.644987576871,300.55574772773105,299.533037088051,329.424076062081,394.71749189933195,401.49866742468697,407.429176197808,409.543183768079,418.068942112038,415.034404287378,413.08028263808603,446.31067574594397,475.291930195819,499.46194023915604,509.640189887604,558.051840707954,634.987069668507,702.264419644314,781.153577677298,861.762162181077,883.1171296157179,981.8608513544569,1118.87380783368,1248.4533098961301,1401.56463513179,1563.76781861826,1698.13208078712,1855.7400942231898,1961.6137487885999,
21,Bulgaria,,,,,,,,,,,,,,,,,,,,,2238.8029578657397,2234.81481573125,2169.00401089683,1852.81343442802,1963.5726761827398,1914.55064658793,2260.4272811545,3132.3013603624604,2511.3930625948897,2477.0208179595998,2366.52982128614,1267.73437541485,1211.98087810931,1278.24717346108,1148.4943993817,2258.2860178759697,1470.10370331004,1361.3923860058999,1820.4050942489603,1659.71834595525,1621.2429608024697,1770.91353394746,2092.95769387611,2719.49765607059,3389.70704883102,3899.9076377401702,4523.0508329806,5885.10434781837,7265.7354968299705,6988.23332468094,6853.002853886689,7849.16528274432,7432.478765680709,7681.934619958821,7901.785876393821,7074.68102325059,7569.47881476759,8366.29322145748,9446.70077185518,9879.26853313318,10079.2033812203,
22,Bahrain,,,,,,,,,,,,,,,,,,,,,8537.71587001028,9269.26961652991,9446.08457726994,9421.3569469587,9590.54179396802,8706.76660148502,7041.63444747202,7554.93219231615,7958.747924585391,8031.0048199518005,8529.052126709279,9055.6444071063,9082.827988321591,9698.15288998905,10130.376203072901,10376.953296178,10544.7946831914,10672.2377596193,10076.2698786937,10401.5621521671,13636.4167499288,12868.176917082099,13049.9097291643,14222.0367965749,15846.5059474506,17959.3968267194,19307.5089373876,20976.442287272,23066.450982437596,19355.921005089498,20722.0704900745,22514.202716483,23654.3695877495,24744.296958551,24989.437527708,22634.0856475674,22608.4525623673,23742.9373424159,24085.955988096,23551.9300857404,20409.9528047731,
